PubmedID,Title
40087147,Effect of 
40087063,Immunotherapy-induced psoriasis successfully treated with Guselkumab in a patient with metastatic gastric cancer.
40087057,"Predicting Severe Radiation Pneumonitis in Patients With Locally-Advanced Non-Small-Cell Lung Cancer After Thoracic Radiotherapy: Development and Validation of a Nomogram Based on the Clinical, Hematological, and Dose-Volume Histogram Parameters."
40086820,"Optimization of Adcitmer, a Monomethyl-Auristatin E bearing antibody-drug conjugate for the treatment of CD56-expressing cancers."
40086819,Protein arginine methyltransferase 6 enhances immune checkpoint blockade efficacy via the STING pathway in MMR-proficient colorectal cancer.
40086769,The Dual Role of Chaperone-mediated Autophagy in the Response and Resistance to Cancer Immunotherapy.
40086544,The fucoidan delivery system enhanced the anti-cervical cancer effect of caffeic acid.
40086465,Adrenocortical carcinoma: a practical guide for clinicians.
40086437,Distinct CD8
40086102,"The evolving landscape of stage III unresectable non-small cell lung cancer ""between lights and shadows""."
40086027,Immunotherapy in advanced non-small cell lung cancer: What to do for the 'Invisible' patients after IPSOS trial results?
40085988,Metabolism profiles of tannins in Phyllanthus emblica L. and its immunotherapeutic potential against hepatocellular carcinoma by re-educating tumor microenvironment.
40085976,Synthesis and preclinical evaluation of an Al
40085930,Effect of cumulative dexamethasone dose on the outcome of patients with radiosurgically treated brain metastases in the era of modern oncological therapy.
40085689,QRICH1 mediates an intracellular checkpoint for CD8
40085681,A microglia clonal inflammatory disorder in Alzheimer's disease.
40085645,Maternal progesterone and adipose mPRε in pregnancy regulate the embryonic nutritional state.
40085546,Inotuzumab Ozogamicin as a Bridge to Stem Cell Transplantation in Relapsed Pediatric BCP-ALL After Tisagenlecleucel: A Case Series.
40085508,A targeted MAVS fusion protein for controlled innate immune activation and antitumor therapy.
40085489,Expression of a single inhibitory member of the Ly49 receptor family is sufficient to license NK cells for effector functions.
40085398,Efficacy and safety of immunotherapy plus chemotherapy in advanced or metastatic pulmonary large-cell neuroendocrine carcinoma.
40085377,Integrated bulk and single-cell transcriptomic analysis unveiled a novel cuproptosis-related lipid metabolism gene molecular pattern and a risk index for predicting prognosis and antitumor drug sensitivity in breast cancer.
40085357,The Role of Choroid Plexus in Hydrocephalus from the Perspective of Structure and Function: a Therapeutic Target.
40085293,"Hypertension in Childhood Cancer Survivors: Causes, Screening, and Management."
40085270,Leptomeningeal carcinomatosis in gastric cancer: A Review.
40084939,CD103+CD56+ ILCs Are Associated with an Altered CD8+ T-cell Profile within the Tumor Microenvironment.
40084746,Blocking ITGA5 potentiates the efficacy of anti-PD-1 therapy on glioblastoma by remodeling tumor-associated macrophages.
40084517,Immunotherapy in Cervical Cancer: An Evolutionary Paradigm in Women's Reproductive Health.
40084460,[CAR-T cell therapy in a patient with relapsed/refractory mantle cell lymphoma.].
40084459,[Efficacy and toxicity of brexucabtagene autoleucel in the treatment of high-risk mantle cell lymphoma: description of a clinical case.].
40084458,[Successful CAR-T cell therapy in a refractory mcl patient with rapidly progressive disease: a case report.].
40084378,Comparing health insurance-reimbursed lenvatinib and self-paid atezolizumab plus bevacizumab in patients with unresectable hepatocellular carcinoma.
40084370,Risk factors for immunoresistance in advanced non-small cell lung cancer and the advantages of targeted therapy in improving prognosis.
40084361,"Microporous annealed particle hydrogels in cell culture, tissue regeneration, and emerging application in cancer immunotherapy."
40084358,Early-phase clinical trials in the pandemic era: a four-year experience from an academic cancer center.
40084273,Discovery and preclinical development of a SdAb-based CAR-T technology for targeting CD33 in AML.
